39.121,1712,40.833,2454,2677,2172.494,52.528,1330.733,8165.000,501.000,51828.000
83.513,2284,85.797,2880,3083,2570.330,52.448,1537.223,8661.884,529.549,53508.000
92.53,3037,95.567,3346,3539,3014.535,44.450,1759.438,9402.401,556.514,53592.000
97.115,2806,99.921,3814,4032,3453.798,48.091,1946.290,9762.833,572.340,54660.000
103.402,2633,106.035,4240,4452,3972.257,57.000,2102.119,9315.260,553.526,55840.000
103.852,2735,106.587,4866,5100,4875.850,66.010,2413.905,9567.000,566.000,57040.000
102.507,2592,105.099,5700,5944,5663.103,66.010,2715.271,9841.966,567.011,58600.000
102.044,2544,104.588,6610,6913,6256.045,52.055,3104.189,10058.791,568.479,59952.600
123.239,2726,125.965,6642,6936,7050.459,35.946,3464.313,10374.769,562.186,62070.000
130.689,2954,133.643,8881,9185,8028.702,31.843,4143.121,10043.325,538.447,59860.000
133.503,2999,136.502,10005,10384,9401.842,31.258,4530.024,9968.000,521.000,59732.000
139.993,3193,143.186,10852,11247,10584.667,33.295,5138.671,9616.028,472.641,63057.000
144.851,3202,148.053,13103,13554,11611.375,28.100,5573.070,9447.990,457.151,64256.000
155.016,3876,158.892,13918,14353,11382.250,26.826,6241.881,9449.109,455.262,63740.000
178.458,6293,184.751,12689,12964,12234.298,25.029,6216.497,9509.795,476.573,62101.000
204.171,8603,212.774,10611,10880,12800.131,27.753,6354.565,9636.000,504.000,62647.000
233,8414,241.414,10671,10988,14214.345,28.606,6825.661,8970.000,470.000,58164.000
251.793,6369,258.162,12557,12882,14976.362,30.057,7523.821,8903.000,505.000,58675.000
289.777,6337,296.114,13693,14019,15883.148,32.996,7728.987,9462.000,527.000,55560.000
303.71,6429,310.139,14546,14796,17535.289,33.469,7915.026,9559.000,531.000,59770.000
318.718,6226,324.944,15670,15881,17664.171,35.282,7992.044,9195.000,513.000,61830.000
325.31,6055,331.365,17012,17188,17718.537,35.832,8363.080,9626.000,528.000,64460.000
360.575,6647,367.222,16062,16250,17290.419,34.990,8367.699,9764.000,524.000,
,,,16258,16461,17779.541,38.546,8661.582,,,
,,,17174,17349,19031.764,39.320,9102.355,,,
,,,17671,17819,20271.197,36.706,9546.141,,,
,,,18544,18708,20495.975,39.464,9670.366,,,
,,,20428,20618,23305.603,38.175,10615.015,,,
,,,22206,22416,25235.401,39.149,11305.215,,,
,,,24118,24308,26724.430,37.248,12231.671,,,
,,,24206,24348,29631.427,37.708,12769.757,,,
,,,23195,23334,27991.435,36.905,12225.542,,,
,,,25009,25179,30758.852,33.461,13119.273,,,
,,,25251,25388,32550.083,29.010,13574.085,,,
,,,26497,26624,35134.834,29.922,14573.334,,,
,,,26577,26660,38191.247,26.213,15395.406,,,
,,,27333,27371,38770.166,24.300,16276.699,,,
