trend,length,std,skew,kurt,turn,step,nonlin,maxSpec,ff,acf1,acf2,pacf1,pacf2,season
0.59546375,69,0.270737861,0.29188584,2.749176943,0.623188406,0.057971014,0.683476246,631638.893,1,0.24821997,0.195151487,0.242323713,0.089306309,0.652220515
0.158040357,69,0.19290364,0.327141539,3.500808872,0.666666667,0.115942029,0.772969121,209560.8036,2,0.00206398,-0.090680183,0.009754117,-0.11927484,0.723600911
0.222155956,69,0.121813594,0.392346246,3.028960462,0.695652174,0.086956522,0.799759073,388242.5255,6,0.060551101,-0.015086802,0.068299447,-0.040483891,0.715589804
0.115972887,69,0.434417351,-0.066433797,2.914846798,0.666666667,0.057971014,0.84146114,329194.9891,4,-0.010054353,0.1051923,-0.004356515,0.089074771,0.759800965
0.09141767,69,0.019845653,0.144517113,3.131370431,0.666666667,0.057971014,0.538130322,158010.3175,2,0.00890215,-0.005332099,0.074944009,-0.059736473,0.793999917
0.105937105,69,0.222598492,0.488683839,3.926987511,0.652173913,0.028985507,0.77999106,171577.6897,1,0.010041679,-0.172745495,0.009432174,-0.192376588,0.788657917
0.565640954,69,0.141630069,-0.063250575,2.561164647,0.652173913,0.072463768,0.73862153,721388.9955,1,0.163205332,0.328897808,0.214257795,0.349438104,0.751970912
0.571279578,69,0.13089308,0.429806568,3.077106232,0.565217391,0.043478261,0.68903107,2311777.508,1,0.280579389,0.275508629,0.345393749,0.229799806,0.548576103
0.513261735,69,0.181662668,-0.093204161,3.440683489,0.565217391,0.086956522,0.780936213,649144.1802,2,0.325484575,0.123141858,0.351999093,0.053227071,0.694830252
0.763060434,69,0.045796294,0.472876042,2.825224771,0.594202899,0.115942029,0.693125006,735215.4027,2,0.506113381,0.456996436,0.525113109,0.288943135,0.625747806
0.910239956,69,0.023156906,0.113287976,2.736667635,0.579710145,0.072463768,0.490456373,1529493.337,1,0.656283695,0.62418994,0.687671714,0.40726716,0.662061659
